n00004475	有机体,存在
n00005787	底栖生物
n00006024	异养生物
n00006484	细胞
n00007846	人,个人,某人,某人,凡人,灵魂
n00015388	动物,生命的存在,野兽,残忍的,生物,动物
n00017222	植物,植物区系,植物的生命
n00021265	食物,营养物
n00021939	神器,人工制品
n00120010	单足蹦跳
n00141669	登记入住
n00288000	盛装舞步
n00288190	腾跃,跳马
n00288384	原地踏步
n00324978	funambulism,小猫走钢丝
n00326094	攀岩
n00433458	接触性运动
n00433661	户外运动,野外运动
n00433802	体操,体操运动
n00434075	杂技,翻滚
n00439826	田径
n00440039	轨道,运行
n00440218	跳跃的
n00440382	跳远,跳远
n00440509	跳高
n00440643	Fosbury：
n00440747	滑雪
n00440941	越野滑雪
n00441073	跳台滑雪
n00441824	水上运动,游泳
n00442115	游泳,游泳
n00442437	洗澡
n00442847	浸,跳水
n00442981	潜水,潜水
n00443231	浮动,游泳
n00443375	死人的浮子,易浮
n00443517	肚皮翻,肚子里翻来覆去,腹部的重击,腹部的弥天大谎
n00443692	悬崖跳水
n00443803	轻弹
n00443917	获得者,全车
n00444142	半者
n00444340	重叠
n00444490	天鹅潜水,燕式跳水
n00444651	潜水,潜水
n00444846	水肺潜水
n00444937	浮潜,潜水潜水
n00445055	冲浪,冲浪板,冲浪
n00445226	滑水
n00445351	划船,行
n00445685	划船
n00445802	拳击,拳击,拳头
n00446311	职业拳击
n00446411	在战斗
n00446493	战斗
n00446632	倚绳战术
n00446804	晶石,陪练
n00446980	射箭
n00447073	滑雪橇
n00447221	雪橇
n00447361	雪橇
n00447463	雪橇
n00447540	摔跤,摔跤,格斗
n00447957	Greco Roman摔跤
n00448126	职业摔角
n00448232	相扑
n00448466	滑冰
n00448640	滑冰
n00448748	花样滑冰
n00448872	滑旱冰
n00448958	滚轴溜冰
n00449054	滑板运动
n00449168	速度滑冰
n00449295	赛车
n00449517	赛车,赛车
n00449695	赛龙舟
n00449796	水上飞机比赛
n00449892	赛骆驼
n00449977	赛狗
n00450070	赛马
n00450335	骑,骑马,骑马
n00450700	马术运动
n00450866	骑马旅行
n00450998	超越障碍比赛,体育场跳跃
n00451186	越野骑,越野跳跃
n00451370	骑脚踏车兜风
n00451563	骑自行车
n00451635	摩托车
n00451768	沙丘循环
n00451866	血液运动
n00452034	斗牛,斗牛
n00452152	斗鸡
n00452293	打猎,狩猎
n00452734	杀光
n00452864	猎兔
n00453126	窃喜
n00453313	猎鹿,鹿
n00453396	小鸭,猎鸭
n00453478	猎狐,猎狐
n00453631	野猪
n00453935	钓鱼,垂钓
n00454237	钓鱼
n00454395	飞钓
n00454493	拖钓,曳
n00454624	铸造,铸造
n00454855	投饵
n00454983	飞铸造
n00455076	阴
n00455173	冲浪铸造,冲浪钓鱼
n00456465	一天的游戏
n00463246	竞技游戏
n00463543	冰上曲棍球,曲棍球,曲棍球比赛
n00464277	绳球
n00464478	水球
n00464651	户外游戏
n00464894	高尔夫球运动,高尔夫游戏
n00466273	职业高尔夫
n00466377	高尔夫球,圆
n00466524	奖章玩,比杆赛
n00466630	比赛
n00466712	迷你高尔夫
n00466880	槌球
n00467320	铁环,马蹄铁
n00467536	沙狐球,打圆盘游戏
n00467719	场比赛
n00467995	曲棍球,曲棍球
n00468299	晶灵,儿童的非正式曲棍球赛
n00468480	足球,足球比赛
n00469651	美式足球,美式足球比赛
n00470554	职业足球
n00470682	接触足球
n00470830	投掷
n00470966	橄榄球,橄榄球,橄榄球
n00471437	球游戏,球赛
n00471613	棒球,棒球比赛
n00474568	球
n00474657	职业棒球
n00474769	强硬
n00474881	完美的游戏
n00475014	不打游戏,无安打比赛
n00475142	一个打击,1-hitter
n00475273	两打,2-hitter
n00475403	三击球手,3-hitter
n00475535	四击球手,4-hitter
n00475661	五击球手,5-hitter
n00475787	垒球,垒球比赛
n00476140	圆场
n00476235	棍球,棍球比赛
n00476389	板球
n00477392	长曲棍球
n00477639	马球
n00477827	推球
n00478262	足球,足球协会
n00479076	法院的游戏
n00479440	手球
n00479616	壁球
n00479734	五
n00479887	南瓜,壁球球拍,壁球
n00480211	排球,排球比赛
n00480366	回力球,回力球
n00480508	羽毛球
n00480885	羽毛球拍,板羽球
n00480993	篮球,篮球比赛,箍
n00481803	职业篮球
n00481938	甲板网球
n00482122	投球
n00482298	网球,草地网球
n00483205	职业网球
n00483313	单打
n00483409	单打
n00483508	双打
n00483605	双打
n00483705	皇家网球,真正的网球,网球
n00483848	松花粉
n00523513	运动,竞技
n00812526	扣环,握紧,离合器,离合器,抓住,紧握,持有
n00825773	柔道
n00887544	团队运动
n01035504	最后的晚餐,主的晚餐
n01035667	逾越节家宴,逾越节的晚餐
n01055165	露营,营地,露宿,帐篷
n01314388	害虫
n01314663	生物
n01314781	令人毛骨悚然的
n01314910	镖鲈
n01315213	偷窥者
n01315330	恒温动物,恒温动物,恒温动物
n01315581	变温动物,冷血动物
n01315805	范围内的动物
n01316422	食腐动物
n01316579	底料,底层的居民
n01316734	底料
n01316949	工作动物
n01317089	牲口,耕牛
n01317294	草案动物
n01317391	群居动物,驮兽
n01317541	国内的动物,驯养的动物
n01317813	饲养员
n01317916	饲养员
n01318053	堆料机
n01318279	幼体
n01318381	头
n01318478	候鸟
n01318660	眠,刨冰
n01318894	宠物
n01319001	抑制物
n01319187	特技
n01319467	海洋动物,海洋生物,海洋动物,海洋生物
n01319685	被抓,误捕
n01320872	女性的
n01321123	母鸡
n01321230	男性的
n01321456	成人
n01321579	年轻的,后代
n01321770	孤儿
n01321854	年轻的哺乳动物
n01322221	宝贝
n01322343	小狗,幼兽
n01322508	狼崽,幼狼
n01322604	小狗
n01322685	幼兽,年轻的食肉动物
n01322898	幼狮
n01322983	小熊
n01323068	小老虎
n01323155	配套元件
n01323261	哺乳
n01323355	陛下
n01323493	水坝
n01323599	良种,纯种的,纯血统
n01323781	巨人
n01324305	突变
n01324431	食肉动物
n01324610	草食动物
n01324799	食虫植物
n01324916	端生齿
n01325060	侧生齿
n01326291	微生物,微生物
n01327909	单
n01329186	虫媒病毒,虫媒病毒
n01330126	腺病毒
n01330497	沙粒病毒
n01332181	马尔堡病毒
n01333082	沙粒病毒科
n01333483	水疱
n01333610	呼肠病毒
n01334217	天花,天花病毒
n01334690	类病毒,虹彩病毒
n01335218	大肠杆菌噬菌体
n01337191	副粘病毒
n01337734	脊髓灰质炎病毒
n01338685	疱疹,疱疹病毒
n01339083	单纯疱疹病毒1,HS1,HSV-1,单纯疱疹病毒I型
n01339336	带状疱疹,带状疱疹病毒
n01339471	水痘-带状疱疹,水痘-带状疱疹病毒
n01339801	巨细胞病毒,CMV
n01340014	水痘-带状疱疹病毒
n01340522	多瘤病毒,多瘤病毒
n01340785	狂犬病病毒
n01340935	呼肠孤病毒
n01341090	轮状病毒
n01342269	moneran,原核生物界
n01347583	古细菌,古细菌,古细菌,古细菌
n01349735	类
n01350226	炭疽芽孢杆菌,炭疽芽孢杆菌
n01350701	鼠疫耶尔森菌
n01351170	布鲁氏菌
n01351315	螺旋菌,螺旋菌
n01357328	肉毒杆菌,肉毒杆菌,肉毒梭菌
n01357507	产气荚膜梭菌
n01358572	蓝藻,蓝藻
n01359762	束毛藻
n01362336	硝酸细菌,硝化细菌
n01363719	螺旋菌
n01365474	弗朗西斯,弗朗西斯菌属
n01365885	淋球菌,淋病奈瑟菌
n01366700	白喉棒状杆菌,白喉棒杆菌,肺炎克雷白杆菌克雷白
n01367772	肠道细菌,肠杆菌,enterics,偏心
n01368672	肺炎克雷伯菌
n01369358	鼠伤寒沙门氏菌
n01369484	伤寒杆菌,伤寒沙门氏菌,伤寒沙门氏菌
n01374703	硝酸盐细菌,硝酸菌
n01374846	亚硝酸细菌,亚硝酸菌
n01375204	放线菌
n01376237	链霉菌
n01376437	红霉素链霉菌
n01376543	灰色链霉菌
n01377278	结核杆菌,结核分枝杆菌
n01377510	化脓菌
n01377694	链杆菌
n01378545	粘细菌,粘细菌,粘球菌,滑行细菌,粘细菌
n01379389	金黄色葡萄球菌,金黄色葡萄球菌,金黄色葡萄球菌
n01380610	双球菌
n01380754	肺炎球菌,肺炎双球菌
n01381044	链球菌,链球菌,链球菌
n01382033	螺旋体,螺旋体
n01384084	浮游藻类
n01384164	浮游动物
n01384687	寄生虫
n01385017	体内寄生虫,体内寄生虫,内寄生的,体内寄生虫,endozoan
n01385330	体外寄生虫,ectozoan,体表寄生虫,epizoan,体表寄生虫
n01386007	病菌
n01386182	共生
n01386354	蚁冢
n01387065	生物
n01389507	原生动物,原虫
n01390123	肉足原虫,肉足
n01390763	太阳虫
n01392275	endameba
n01392380	阿米巴,变形虫
n01393486	抱球虫
n01394040	贝壳类
n01394492	表壳
n01394771	足
n01395254	纤毛虫,纤毛原生动物,纤毛虫
n01396048	草履虫,草履虫
n01396617	宏声
n01397114	藻类,藻类
n01397690	昆布丝
n01397871	海草
n01400247	金藻
n01400391	黄绿色的藻类
n01402600	褐藻
n01403457	海带
n01404365	海藻,fucoid藻类
n01404495	海藻
n01405007	墨角藻
n01405616	2,褐藻
n01407798	绿藻,绿藻
n01410457	浮渣
n01411450	小球藻
n01412694	轮藻
n01413457	鼓藻
n01414216	海苔
n01415626	真核生物,真核生物
n01415920	原核生物,原核生物
n01416213	蛾
n01418498	利什曼原虫,属利什曼原虫
n01418620	zoomastigote,植鞭毛虫
n01419332	多鞭毛
n01419573	口丝虫属,漂游口丝虫
n01419888	贾第鞭毛虫
n01421333	隐藻,隐芽植物
n01421807	孢子虫
n01422185	子孢子
n01422335	滋养体
n01422450	裂殖子
n01423302	球虫,柔嫩艾美耳球虫
n01423617	簇虫
n01424420	疟原虫,间日疟原虫,疟疾寄生虫
n01425223	leucocytozoan,住白细胞虫
n01427399	微孢子虫
n01429172	骨鳔总目,以骨
n01438208	鲤形目鱼类
n01438581	泥鳅
n01439121	鲤科,鲤科鱼类
n01439514	挑剔
n01439808	国内的鲤鱼,鲤
n01440160	革鲤
n01440242	镜鲤
n01440467	欧鳊,欧鳊
n01440764	丁,丁鱥
n01441117	鲮鱼,雅罗鱼
n01441272	鲢鱼,白鲑
n01441425	赛诺
n01441910	常见的黑眼圈,银汉鱼,Notropis蛛
n01442450	罗奇,拟鲤
n01442710	陆克文,红眼
n01442972	小鱼,真鱥
n01443243	活塞,Gobio gobio
n01443537	金鱼,鲫鱼
n01443831	鲫鱼,黑鲫,鲫鱼寻常
n01444339	电鳗,起电盘电
n01444783	亚口鱼
n01445429	水牛鱼,牛鱼
n01445593	黑牛胭鱼,黑牛胭脂鱼
n01445857	猪抽油,猪莫莉,北方黑猪鱼
n01446152	红马,红马吸盘
n01446589	小软鳍鱼科
n01446760	锵
n01447139	底鳉,底鱂
n01447331	条纹的鱼,mayfish,也许鱼,Fundulus兰花
n01447658	花溪
n01447946	花尾汤鲤,美国花尾汤鲤,乔
n01448291	剑尾鱼,剑尾鱼,食蚊鱼,xyphophorus剑尾鱼
n01448594	孔雀鱼,彩虹鱼,Lebistes网纹
n01448951	食蚊鱼,花斑鱼,花,活载体
n01449374	食蚊鱼,食蚊鱼
n01449712	板状,platypoecilus豆象
n01449980	莫莉,莫莉
n01450661	金鳞鱼
n01450950	礁金鳞鱼,真厚壳贻贝
n01451115	深水金鳞鱼,真bullisi
n01451295	真中
n01451426	红,士兵鱼
n01451863	anomalops,闪光鱼
n01452345	闪光鱼,photoblepharon palpebratus
n01453087	海鲂,日本的鲷
n01453475	豚鱼,纸张Capros
n01453742	豚鱼
n01454545	烟管鱼
n01454856	刺鱼,剑齿
n01455317	三刺鱼,Gasterosteus树
n01455461	十刺鱼,中华多刺鱼Gasterosteus
n01455778	海龙,颌针鱼
n01456137	矮海龙,海龙hildebrandi
n01456454	深水海龙,曲海龙深
n01456756	海马,海的马
n01457082	鹭管鱼,风箱鱼
n01457407	玻甲鱼,虾鱼
n01457852	斑点管口鱼,斑点管口鱼
n01458746	薄膜
n01458842	胚胎,胎体,受精卵
n01459791	胎儿,胎儿
n01460303	流产
n01461315	产卵
n01461646	囊胚,囊胚
n01462042	囊胚,vessicle胚盘
n01462544	原肠胚
n01462803	桑椹胚
